0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:56:42 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:56:42 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:57:34 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:15:57:34 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:12 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:12 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:16 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:16 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:53 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:53 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:56 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:19:56 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:40:34 +0900] "GET /JSP_Study_MVC_M2/updateBoard.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:18:44 +0900] "GET /JSP_Study_MVC_M2/updateBoard.do HTTP/1.1" 500 1364
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:21:32 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 500 2623
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:21:57 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:21:57 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:00 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:00 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:02 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:02 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:04 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:12 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:12 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:20 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:20 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:56 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:56 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:58 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:58 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:59 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:22:59 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:23:21 +0900] "POST /JSP_Study_MVC_M2/updateBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:23:22 +0900] "GET /JSP_Study_MVC_M2/getBoardList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:23:22 +0900] "GET /JSP_Study_MVC_M2/getBoardList.jsp HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:36:12 +0900] "GET /JSP_Study_MVC_M2/getUsersList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:36:12 +0900] "GET /JSP_Study_MVC_M2/getUsersList.jsp HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:48:03 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:48:03 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:14:05 +0900] "GET /JSP_Study_MVC_M2/getUsersList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:18:14:05 +0900] "GET /JSP_Study_MVC_M2/getUsersList.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:45:10 +0900] "GET /JSP_Study_MVC_M2/getUsersList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:45:10 +0900] "GET /JSP_Study_MVC_M2/getUsersList.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:47:16 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:47:16 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:52:58 +0900] "GET /JSP_Study_MVC_M2/getUsersList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:52:58 +0900] "GET /JSP_Study_MVC_M2/getUsersList.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:53:41 +0900] "GET /JSP_Study_MVC_M2/getUsersList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:53:41 +0900] "GET /JSP_Study_MVC_M2/getUsersList.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:53:43 +0900] "GET /JSP_Study_MVC_M2/getUsers.do?id=user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:53:55 +0900] "GET /JSP_Study_MVC_M2/getUsers.do?id=user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:55:35 +0900] "GET /JSP_Study_MVC_M2/getUsers.do?id=cccc HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:21:56:15 +0900] "GET /JSP_Study_MVC_M2/getUsers.do?id=user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:22:02:05 +0900] "GET /JSP_Study_MVC_M2/getUsers.do?id=user%E3%84%B4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:22:02:08 +0900] "GET /JSP_Study_MVC_M2/getUsers.do?id=users HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:22:06:24 +0900] "GET /JSP_Study_MVC_M2/getBoard.do?seq=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:22:06:24 +0900] "GET /JSP_Study_MVC_M2/getBoard.jsp HTTP/1.1" 200 1475
